# zh-TW to zh-CN. Script first, then the terms that differ between the two
# technical vocabularies. The reverse is deliberately absent: 程序 is both
# "program" and "procedure" in zh-CN and cannot be mapped back.
# Longest match wins, so multi-character terms come before single characters.
程式碼	代码
程式	程序
函式	函数
相依	依赖
佇列	队列
唯讀	只读
檔案	文件
資料夾	文件夹
伺服器	服务器
執行緒	线程
記憶體	内存
快取	缓存
介面	接口
物件	对象
陣列	数组
迴圈	循环
變數	变量
編譯	编译
除錯	调试
部署	部署
測試	测试
分支	分支
合併	合并
衝突	冲突
提交	提交
版本	版本
閘門	闸门
審核	审核
船員名冊	船员名册
船長	船长
船員	船员
任務	任务
拍板	拍板
成案	立项
已合併	已合并
進行中	进行中
受阻	受阻
排隊	排队
施工	施工
日誌	日志
待決	待决
擱著	搁着
退回	退回
乾淨	干净
範圍	范围
簽	签
開啟	打开
看板	看板
單桅帆船	单桅帆船
雙桅帆船	双桅帆船
巡防艦	巡防舰
蓋倫帆船	盖伦帆船
戰列艦	战列舰
旗艦	旗舰
等待船長下令	等待船长下令
在後甲板上裁決	在后甲板上裁决
音效開	音效开
音效關	音效关
全員注意	全员注意
變	变
後	后
優	优
點	点
價	价
舊	旧
記	记
錄	录
說	说
與	与
訂	订
覆	复
個	个
確	确
認	认
請	请
選	选
擇	择
讀	读
釋	释
無	无
語	语
聲	声
體	体
憶	忆
據	据
證	证
遲	迟
緩	缓
檢	检
線	线
態	态
機	机
測	测
佔	占
複	复
減	减
張	张
實	实
決	决
輸	输
為	为
將	将
響	响
應	应
從	从
這	这
審	审
驗	验
預	预
動	动
復	复
儲	储
寫	写
試	试
標	标
題	题
數	数
觸	触
發	发
砲	炮
雙	双
鈴	铃
鳴	鸣
齊	齐
歷	历
開	开
關	关
閉	闭
過	过
參	参
離	离
協	协
調	调
啟	启
獨	独
隱	隐
責	责
閘	闸
門	门
項	项
冊	册
禮	礼
轉	转
單	单
員	员
擊	击
